name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
シャンプーの匂いがした,0.469,0.93,7,-3.337,1,0.07,0.239,0,0.0563,0.484,76.528,audio_features,6J2uOMF2RcHLmNWptKTlq8,spotify:track:6J2uOMF2RcHLmNWptKTlq8,https://api.spotify.com/v1/tracks/6J2uOMF2RcHLmNWptKTlq8,https://api.spotify.com/v1/audio-analysis/6J2uOMF2RcHLmNWptKTlq8,268880,4
ムズイ,0.548,0.819,10,-1.968,1,0.0373,0.327,0,0.328,0.594,127.887,audio_features,0oKtzV2cpRSByVRMmMayRU,spotify:track:0oKtzV2cpRSByVRMmMayRU,https://api.spotify.com/v1/tracks/0oKtzV2cpRSByVRMmMayRU,https://api.spotify.com/v1/audio-analysis/0oKtzV2cpRSByVRMmMayRU,247520,4
曇り空の向こうは晴れている,0.607,0.834,1,-4.047,1,0.0337,0.363,0,0.135,0.499,132.908,audio_features,6itCIJ79ING3e89aYWw5Mt,spotify:track:6itCIJ79ING3e89aYWw5Mt,https://api.spotify.com/v1/tracks/6itCIJ79ING3e89aYWw5Mt,https://api.spotify.com/v1/audio-analysis/6itCIJ79ING3e89aYWw5Mt,294200,4
僕は存在していなかった,0.512,0.744,11,-3.591,1,0.0284,0.111,0,0.0925,0.628,93.967,audio_features,6cKnq60xg9eoHrDCs9iqeO,spotify:track:6cKnq60xg9eoHrDCs9iqeO,https://api.spotify.com/v1/tracks/6cKnq60xg9eoHrDCs9iqeO,https://api.spotify.com/v1/audio-analysis/6cKnq60xg9eoHrDCs9iqeO,253373,4
ムズイ,0.555,0.803,10,-2.172,1,0.0342,0.314,0,0.36,0.657,127.892,audio_features,72shkPd0oxc0VWMphaHzK9,spotify:track:72shkPd0oxc0VWMphaHzK9,https://api.spotify.com/v1/tracks/72shkPd0oxc0VWMphaHzK9,https://api.spotify.com/v1/audio-analysis/72shkPd0oxc0VWMphaHzK9,247520,4
理解者,0.542,0.954,8,-2.845,1,0.0746,0.214,0,0.378,0.492,127.083,audio_features,3Wov6Glwi06VKEU6nKrHgG,spotify:track:3Wov6Glwi06VKEU6nKrHgG,https://api.spotify.com/v1/tracks/3Wov6Glwi06VKEU6nKrHgG,https://api.spotify.com/v1/audio-analysis/3Wov6Glwi06VKEU6nKrHgG,280747,4
曇り空の向こうは晴れている,0.607,0.834,1,-4.047,1,0.0337,0.363,0,0.125,0.499,132.908,audio_features,5D14XJ9hfShQDmAuJ3vqgW,spotify:track:5D14XJ9hfShQDmAuJ3vqgW,https://api.spotify.com/v1/tracks/5D14XJ9hfShQDmAuJ3vqgW,https://api.spotify.com/v1/audio-analysis/5D14XJ9hfShQDmAuJ3vqgW,295520,4
覚醒,0.525,0.885,11,-3.587,0,0.0524,0.0176,0,0.322,0.457,148.978,audio_features,5UXtjpbR4XCgu3ZqodelQb,spotify:track:5UXtjpbR4XCgu3ZqodelQb,https://api.spotify.com/v1/tracks/5UXtjpbR4XCgu3ZqodelQb,https://api.spotify.com/v1/audio-analysis/5UXtjpbR4XCgu3ZqodelQb,255880,4
何もしてあげられない,0.592,0.887,2,-1.768,0,0.0422,0.0619,0,0.198,0.539,128.031,audio_features,1oQOn4WHCAUBUIkACmOf8E,spotify:track:1oQOn4WHCAUBUIkACmOf8E,https://api.spotify.com/v1/tracks/1oQOn4WHCAUBUIkACmOf8E,https://api.spotify.com/v1/audio-analysis/1oQOn4WHCAUBUIkACmOf8E,276640,4
打ち上げ花火の拒否権,0.445,0.87,4,-3.353,0,0.0458,0.142,0,0.126,0.697,158.959,audio_features,5Vw6TwylC6O5gg2ORURvu7,spotify:track:5Vw6TwylC6O5gg2ORURvu7,https://api.spotify.com/v1/tracks/5Vw6TwylC6O5gg2ORURvu7,https://api.spotify.com/v1/audio-analysis/5Vw6TwylC6O5gg2ORURvu7,293827,4
