name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
青い珊瑚礁,0.651,0.747,9,-4.92,1,0.0305,0.244,0.000204,0.136,0.705,137.264,audio_features,0KhDa1cNYVO7zueOU62oPu,spotify:track:0KhDa1cNYVO7zueOU62oPu,https://api.spotify.com/v1/tracks/0KhDa1cNYVO7zueOU62oPu,https://api.spotify.com/v1/audio-analysis/0KhDa1cNYVO7zueOU62oPu,222280,4
SWEET MEMORIES,0.569,0.165,3,-18.483,1,0.0295,0.663,1.77e-06,0.0987,0.193,101.361,audio_features,4bgVk4itt6wPVrJJwh5vyp,spotify:track:4bgVk4itt6wPVrJJwh5vyp,https://api.spotify.com/v1/tracks/4bgVk4itt6wPVrJJwh5vyp,https://api.spotify.com/v1/audio-analysis/4bgVk4itt6wPVrJJwh5vyp,271707,3
瑠璃色の地球,0.464,0.279,1,-10.993,1,0.0336,0.771,2.82e-05,0.0853,0.194,175.841,audio_features,02xrXFyEhfBCLLWT8qoEMx,spotify:track:02xrXFyEhfBCLLWT8qoEMx,https://api.spotify.com/v1/tracks/02xrXFyEhfBCLLWT8qoEMx,https://api.spotify.com/v1/audio-analysis/02xrXFyEhfBCLLWT8qoEMx,266880,4
赤いスイートピー,0.471,0.202,7,-17.88,1,0.0304,0.663,0,0.0816,0.452,167.763,audio_features,0b5iSriqvDLmd6QSWkalr3,spotify:track:0b5iSriqvDLmd6QSWkalr3,https://api.spotify.com/v1/tracks/0b5iSriqvDLmd6QSWkalr3,https://api.spotify.com/v1/audio-analysis/0b5iSriqvDLmd6QSWkalr3,218533,4
裸足の季節,0.71,0.474,7,-12.507,1,0.0377,0.475,4.31e-05,0.242,0.71,126.716,audio_features,2T6DsaUYxwYeIyYTwD68ol,spotify:track:2T6DsaUYxwYeIyYTwD68ol,https://api.spotify.com/v1/tracks/2T6DsaUYxwYeIyYTwD68ol,https://api.spotify.com/v1/audio-analysis/2T6DsaUYxwYeIyYTwD68ol,222027,4
白いパラソル,0.728,0.699,11,-5.789,1,0.0264,0.135,5.19e-05,0.0821,0.917,140.966,audio_features,4d3PTDIdxwOWGNOE8U0j97,spotify:track:4d3PTDIdxwOWGNOE8U0j97,https://api.spotify.com/v1/tracks/4d3PTDIdxwOWGNOE8U0j97,https://api.spotify.com/v1/audio-analysis/4d3PTDIdxwOWGNOE8U0j97,211787,4
瞳はダイアモンド,0.545,0.399,7,-8.941,1,0.0278,0.593,0.000228,0.147,0.332,161.404,audio_features,0zXG4lsgN27yAHYE2i8e87,spotify:track:0zXG4lsgN27yAHYE2i8e87,https://api.spotify.com/v1/tracks/0zXG4lsgN27yAHYE2i8e87,https://api.spotify.com/v1/audio-analysis/0zXG4lsgN27yAHYE2i8e87,258000,4
夏の扉,0.605,0.72,11,-11.515,0,0.0428,0.0618,5.58e-05,0.619,0.715,155.096,audio_features,2vtv8YU7UcV1KclUJzeUps,spotify:track:2vtv8YU7UcV1KclUJzeUps,https://api.spotify.com/v1/tracks/2vtv8YU7UcV1KclUJzeUps,https://api.spotify.com/v1/audio-analysis/2vtv8YU7UcV1KclUJzeUps,209307,4
チェリーブラッサム,0.637,0.561,9,-12.305,0,0.042,0.0529,3.65e-05,0.338,0.6,145.418,audio_features,2d3H9E4Ui64MvyZFvsmAzY,spotify:track:2d3H9E4Ui64MvyZFvsmAzY,https://api.spotify.com/v1/tracks/2d3H9E4Ui64MvyZFvsmAzY,https://api.spotify.com/v1/audio-analysis/2d3H9E4Ui64MvyZFvsmAzY,201320,4
天国のキッス,0.753,0.788,0,-6.648,1,0.0301,0.508,0.000305,0.371,0.668,123.132,audio_features,6ecXZdsvfOQjjQcVNs4WkN,spotify:track:6ecXZdsvfOQjjQcVNs4WkN,https://api.spotify.com/v1/tracks/6ecXZdsvfOQjjQcVNs4WkN,https://api.spotify.com/v1/audio-analysis/6ecXZdsvfOQjjQcVNs4WkN,236200,4
風立ちぬ(SEIKO STORY〜80's HITS COLLECTION〜),0.584,0.719,10,-5.775,1,0.0299,0.357,0,0.381,0.61,131.525,audio_features,3j9LcTrkuMMoKkwki62lm5,spotify:track:3j9LcTrkuMMoKkwki62lm5,https://api.spotify.com/v1/tracks/3j9LcTrkuMMoKkwki62lm5,https://api.spotify.com/v1/audio-analysis/3j9LcTrkuMMoKkwki62lm5,276920,4
Rock'n Rouge,0.807,0.757,0,-6.954,1,0.0267,0.339,0.000173,0.174,0.383,126.612,audio_features,3kXXo596FVDfIevGEatyIn,spotify:track:3kXXo596FVDfIevGEatyIn,https://api.spotify.com/v1/tracks/3kXXo596FVDfIevGEatyIn,https://api.spotify.com/v1/audio-analysis/3kXXo596FVDfIevGEatyIn,255120,4
青い珊瑚礁,0.651,0.735,9,-5.443,1,0.0285,0.255,0.000408,0.15,0.734,137.256,audio_features,6uPyPOSTwYCgPjYINvXUKl,spotify:track:6uPyPOSTwYCgPjYINvXUKl,https://api.spotify.com/v1/tracks/6uPyPOSTwYCgPjYINvXUKl,https://api.spotify.com/v1/audio-analysis/6uPyPOSTwYCgPjYINvXUKl,221000,4
渚のバルコニー,0.704,0.745,7,-6.246,1,0.0282,0.19,4.19e-06,0.186,0.832,129.768,audio_features,0yyDwOEx8PWFnV1l6vXa2r,spotify:track:0yyDwOEx8PWFnV1l6vXa2r,https://api.spotify.com/v1/tracks/0yyDwOEx8PWFnV1l6vXa2r,https://api.spotify.com/v1/audio-analysis/0yyDwOEx8PWFnV1l6vXa2r,224267,4
大切なあなた,0.701,0.694,6,-8.289,1,0.0312,0.134,0,0.088,0.741,112.768,audio_features,1FaHIi6kRnNGJJNTIlASmf,spotify:track:1FaHIi6kRnNGJJNTIlASmf,https://api.spotify.com/v1/tracks/1FaHIi6kRnNGJJNTIlASmf,https://api.spotify.com/v1/audio-analysis/1FaHIi6kRnNGJJNTIlASmf,263933,4
小麦色のマーメイド,0.714,0.478,3,-9.504,1,0.0299,0.291,1.04e-05,0.0923,0.664,77.294,audio_features,6dNkyg8ufEpbGAmhTkbLst,spotify:track:6dNkyg8ufEpbGAmhTkbLst,https://api.spotify.com/v1/tracks/6dNkyg8ufEpbGAmhTkbLst,https://api.spotify.com/v1/audio-analysis/6dNkyg8ufEpbGAmhTkbLst,216907,4
薔薇のように咲いて 桜のように散って,0.409,0.367,3,-7.171,1,0.0279,0.454,0,0.0891,0.215,75.095,audio_features,57r9tjNf2tqWmmp8So8TEN,spotify:track:57r9tjNf2tqWmmp8So8TEN,https://api.spotify.com/v1/tracks/57r9tjNf2tqWmmp8So8TEN,https://api.spotify.com/v1/audio-analysis/57r9tjNf2tqWmmp8So8TEN,262693,4
SWEET MEMORIES (Re-Mix Version),0.592,0.404,3,-11.016,1,0.0243,0.549,1.83e-05,0.089,0.288,100.991,audio_features,6UDky6rmQprD5seH60B8jY,spotify:track:6UDky6rmQprD5seH60B8jY,https://api.spotify.com/v1/tracks/6UDky6rmQprD5seH60B8jY,https://api.spotify.com/v1/audio-analysis/6UDky6rmQprD5seH60B8jY,274827,3
制服,0.798,0.731,0,-6.603,1,0.0337,0.285,2.66e-06,0.0937,0.741,122.507,audio_features,4XzwxXK340VLxJkOfcrwf6,spotify:track:4XzwxXK340VLxJkOfcrwf6,https://api.spotify.com/v1/tracks/4XzwxXK340VLxJkOfcrwf6,https://api.spotify.com/v1/audio-analysis/4XzwxXK340VLxJkOfcrwf6,215747,4
青い珊瑚礁,0.638,0.492,9,-12.939,1,0.0307,0.386,0.00141,0.143,0.744,137.148,audio_features,0UELBkb2esbSdwcVYfsRIm,spotify:track:0UELBkb2esbSdwcVYfsRIm,https://api.spotify.com/v1/tracks/0UELBkb2esbSdwcVYfsRIm,https://api.spotify.com/v1/audio-analysis/0UELBkb2esbSdwcVYfsRIm,219973,4
天使のウィンク(SEIKO STORY〜80's HITS COLLECTION〜),0.674,0.675,11,-7.928,1,0.0352,0.408,0.0011,0.136,0.399,141.09,audio_features,6ge78YSB7wKmJy5zds5oeE,spotify:track:6ge78YSB7wKmJy5zds5oeE,https://api.spotify.com/v1/tracks/6ge78YSB7wKmJy5zds5oeE,https://api.spotify.com/v1/audio-analysis/6ge78YSB7wKmJy5zds5oeE,241613,4
裸足の季節 (オリジナル・カラオケ),0.721,0.586,7,-10.638,1,0.0343,0.336,0.552,0.199,0.739,125.991,audio_features,5YcqSbbK7d5P1BnVoLBmE9,spotify:track:5YcqSbbK7d5P1BnVoLBmE9,https://api.spotify.com/v1/tracks/5YcqSbbK7d5P1BnVoLBmE9,https://api.spotify.com/v1/audio-analysis/5YcqSbbK7d5P1BnVoLBmE9,226627,4
抱いて…,0.474,0.521,6,-6.722,1,0.0298,0.57,7.81e-05,0.0757,0.357,145.984,audio_features,7Inzv6KdSXPtXVmYd7bYHL,spotify:track:7Inzv6KdSXPtXVmYd7bYHL,https://api.spotify.com/v1/tracks/7Inzv6KdSXPtXVmYd7bYHL,https://api.spotify.com/v1/audio-analysis/7Inzv6KdSXPtXVmYd7bYHL,277160,4
す・ず・し・い・あ・な・た,0.783,0.774,7,-7.494,1,0.0488,0.434,0.000254,0.0453,0.705,137.369,audio_features,1tebLuLASESjA0VivQ43Bu,spotify:track:1tebLuLASESjA0VivQ43Bu,https://api.spotify.com/v1/tracks/1tebLuLASESjA0VivQ43Bu,https://api.spotify.com/v1/audio-analysis/1tebLuLASESjA0VivQ43Bu,251053,4
瑠璃色の地球 - 2020,0.248,0.349,1,-7.666,1,0.029,0.921,5.47e-06,0.1,0.112,171.754,audio_features,1JsGk0ZZjMxwSzUcZVWU12,spotify:track:1JsGk0ZZjMxwSzUcZVWU12,https://api.spotify.com/v1/tracks/1JsGk0ZZjMxwSzUcZVWU12,https://api.spotify.com/v1/audio-analysis/1JsGk0ZZjMxwSzUcZVWU12,264173,4
蒼いフォトグラフ,0.717,0.435,5,-8.083,1,0.0341,0.684,0,0.271,0.616,78.902,audio_features,6LnBFDWTKndeeaIV6O6YQd,spotify:track:6LnBFDWTKndeeaIV6O6YQd,https://api.spotify.com/v1/tracks/6LnBFDWTKndeeaIV6O6YQd,https://api.spotify.com/v1/audio-analysis/6LnBFDWTKndeeaIV6O6YQd,236320,4
風は秋色,0.643,0.78,9,-4.392,1,0.0366,0.595,0,0.183,0.633,140.461,audio_features,20kLkrtv8DxGy9Hly2DWk2,spotify:track:20kLkrtv8DxGy9Hly2DWk2,https://api.spotify.com/v1/tracks/20kLkrtv8DxGy9Hly2DWk2,https://api.spotify.com/v1/audio-analysis/20kLkrtv8DxGy9Hly2DWk2,250413,4
〜南太平洋〜サンバの香り,0.733,0.789,2,-6.484,1,0.044,0.331,0.0075,0.326,0.832,114.597,audio_features,2SiLPkOuo2SkvbgwR5upDd,spotify:track:2SiLPkOuo2SkvbgwR5upDd,https://api.spotify.com/v1/tracks/2SiLPkOuo2SkvbgwR5upDd,https://api.spotify.com/v1/audio-analysis/2SiLPkOuo2SkvbgwR5upDd,240480,4
メディテーション,0.601,0.45,2,-9.663,1,0.0304,0.542,0.000653,0.293,0.442,133.186,audio_features,0S7KQjD6gm3cdObotzSTO2,spotify:track:0S7KQjD6gm3cdObotzSTO2,https://api.spotify.com/v1/tracks/0S7KQjD6gm3cdObotzSTO2,https://api.spotify.com/v1/audio-analysis/0S7KQjD6gm3cdObotzSTO2,236787,4
秘密の花園,0.684,0.535,9,-7.946,0,0.0285,0.658,3.73e-05,0.122,0.617,124.742,audio_features,2cTv0MrukjuaQJY3Mys09U,spotify:track:2cTv0MrukjuaQJY3Mys09U,https://api.spotify.com/v1/tracks/2cTv0MrukjuaQJY3Mys09U,https://api.spotify.com/v1/audio-analysis/2cTv0MrukjuaQJY3Mys09U,212360,4
SWEET MEMORIES - 甘い記憶,0.258,0.365,1,-7.514,1,0.0321,0.862,9.44e-06,0.0439,0.122,66.091,audio_features,2wJGKvlMj22Pom7OPQDLr9,spotify:track:2wJGKvlMj22Pom7OPQDLr9,https://api.spotify.com/v1/tracks/2wJGKvlMj22Pom7OPQDLr9,https://api.spotify.com/v1/audio-analysis/2wJGKvlMj22Pom7OPQDLr9,289467,4
裸足の季節,0.705,0.675,7,-5.171,1,0.0344,0.468,7.37e-06,0.23,0.69,126.901,audio_features,1UgxlTZ5vs1X7qjk4pvtHK,spotify:track:1UgxlTZ5vs1X7qjk4pvtHK,https://api.spotify.com/v1/tracks/1UgxlTZ5vs1X7qjk4pvtHK,https://api.spotify.com/v1/audio-analysis/1UgxlTZ5vs1X7qjk4pvtHK,224653,4
